ID	name	boroughID
635	Marcinowo	28
636	Mas³owiec	28
637	Mas³ów	28
638	Nowy Dwór	28
639	Raszów	28
640	Rzepotowice	28
641	Skoroszów	28
642	Œwi¹tniki	28
643	Szczytkowice	28
644	Taczów Ma³y	28
645	Taczów Wielki	28
646	UjeŸdziec Wielki	28
647	Wêgrzynów	28
648	Boleœcin	28
649	G³uchów Górny	28
650	Koniowo	28
651	Piersno	28
652	Skarszyn	28
653	UjeŸdziec Ma³y	28
654	Oborniki Œl¹skie	29
655	Bagno	29
656	Borkowice	29
657	Golêdzinów	29
658	Jary	29
659	Kotowice	29
660	Kowale	29
661	Kuraszków	29
662	Lubnów	29
663	Morzêcin Ma³y	29
664	Morzêcin Wielki	29
665	Osolin	29
666	Paniowice	29
667	Pêgów	29
668	Piekary	29
669	Przec³awice	29
670	Roœcis³awice	29
671	Siemianice	29
672	Uraz	29
673	Wielka Lipa-Osola	29
674	Wilczyn	29
675	Zaj¹czków	29
676	Prusice	30
677	Borów	30
678	BrzeŸno	30
679	Budzicz	30
680	Chodlewko	30
681	Dêbnica	30
682	Gola	30
683	Górowo	30
684	Jagoszyce	30
685	Kaszyce Wielkie	30
686	Kopaszyn	30
687	Kosinowo	30
688	Kroœcina Ma³a	30
689	Kroœcina Wielka	30
690	Ligotka	30
691	Ligota Strupiñska	30
692	Paw³ów Trzebnicki	30
693	Pêkszyn	30
694	Pietrowice Ma³e	30
695	Piotrkowice	30
696	Skokowa	30
697	Strupina	30
698	Œwierzów	30
699	Raszowice	30
700	Wszemirów	30
701	Wilkowa Ma³a	30
702	Wilkowa Wielka	30
703	Zakrzewo	30
704	Budczyce	31
705	Cielêtniki	31
706	Czachowo	31
707	Czeszów	31
708	G³uchów Dolny	31
709	Grochowa	31
710	Ka³owice	31
711	Ludgierzowice	31
712	Pomianowice	31
713	Mi³onowice	31
714	Niedary	31
715	Pêciszów	31
716	Prawocice	31
717	Rad³ów	31
718	Rzêdziszowice	31
719	Sêdzice	31
720	Skotniki	31
721	Pstrzejowice	31
722	Sucha Wielka	31
723	Tarnowiec	31
724	Zawonia	31
725	Z³otów	31
726	Kryniczno	32
727	Krzy¿anowice	32
728	Ligota Piêkna	32
729	Machnice	32
730	Malin	32
731	Mienice	32
732	Ozorowice	32
733	Pierwoszów	32
734	Piotrkowiczki	32
735	Psary	32
736	Rogo¿	32
737	Strzeszów	32
738	Szewce	32
739	Szymanów	32
740	Wisznia Ma³a	32
741	Wysoki Koœció³	32
742	Cienin	32
743	Biskupice	32
744	Raków	32
745	¯migród	33
746	Barkowo	33
747	Borek	33
748	Borzêcin	33
749	Bychowo	33
750	Chodlewo	33
751	Dêbno	33
752	Dobros³awice	33
753	Garbce	33
754	Gatka	33
755	Gr¹dzik	33
756	Kanclerzowice	33
757	Karnice	33
758	Kaszyce Milickie	33
759	Kêdzie	33
760	Kliszkowice	33
761	Korzeñsko	33
762	Ksi¹¿êca Wieœ	33
763	Laskowa	33
764	£apczyce	33
765	Morzêcino	33
766	Osiek	33
767	Powidzko	33
768	Przedkowice	33
769	Przywsie	33
770	Radzi¹dz	33
771	Ruda ¯migrodzka	33
772	Sanie	33
773	Wêglewo	33
774	¯migródek	33
775	Niezgoda	33
